Fecha;Mes;Año;Ventas;Álava;Albacete;Alicante;Almería;Ávila;Badajoz;Balears;Barcelona;Burgos;Cáceres;Cádiz;Castellón;Ciudad Real;Córdoba;Coruña;Cuenca;Girona;Granada;Guadalajara;Guipúzcoa;Huelva;Huesca;Jaén;León;Lleida;Rioja (La);Lugo;Madrid;Málaga;Murcia;Navarra;Ourense;Asturias;Palencia;Pontevedra;Salamanca;Cantabria;Segovia;Sevilla;Soria;Tarragona;Teruel;Toledo;Valencia;Valladolid;Vizcaya;Zamora;Zaragoza;Ceuta;Melilla
01/01/2015;1;2015;181376955;1400965;1689282;8445966;3001933;679378;2932789;4354250;21061644;1632269;1775352;2573429;2335801;2142922;2653175;4665562;935136;5617464;3855759;990146;3961557;2017490;1079154;2888072;2065893;2159912;1332879;1410837;25732724;5382655;6516671;3704426;1302006;4719750;812312;3464317;1444075;2500882;581850;5159172;346423;3313577;597389;2731604;10884906;2192707;4665826;757990;4099048;442018;365611
01/02/2015;2;2015;148167287;931973;1370353;6851688;2568042;535348;2391896;3830606;17091831;1044334;1460099;2225008;2004904;1766741;2212417;3820289;708237;5105336;3131689;804240;3204009;1738626;854738;2268697;1563873;1971089;1078310;1025399;21079334;4641049;5489397;2863567;1032963;3913075;569927;2844691;1050855;2080322;470678;4383940;280057;2457832;467890;2182334;8589718;1626314;3889295;606290;3410918;364307;312762
01/03/2015;3;2015;194100345;1330541;1790107;9653698;3215519;751946;3165091;5163959;21837573;1581603;1982654;2906688;2512280;2335519;2905258;4714194;983145;6781578;4091063;1065393;4378269;2250720;1218209;2955387;2128422;2404101;1438812;1399655;26635280;6173900;6943963;4284746;1309950;4918584;738635;3577549;1367338;2749751;634670;5869547;385450;3505430;630188;2904749;11462466;2153124;4785330;775349;4582575;446740;323647
01/04/2015;4;2015;184748185;1202347;1645298;9285401;3050810;700288;2884566;6461011;20319709;1374434;1831316;2703376;2306056;2141935;2615615;4517647;932602;8014871;3793944;979920;4110772;2157494;1121312;2656167;1975316;2451493;1276554;1346085;24954234;6112224;6611553;3774907;1251217;4656813;680030;3500452;1151669;2551289;573559;5457084;349487;3340923;577797;2687916;10523026;2009778;4466384;706256;4107992;453960;393296
01/05/2015;5;2015;194228738;1163806;1620840;9982875;3166272;642480;2986334;8809501;21803499;1462231;1867420;2860840;2361279;2211521;2821163;4486370;907017;8785201;3872821;1047481;4499647;2407901;1148909;2733101;1998549;2397852;1369310;1303406;25682395;6694494;6684640;4138246;1223052;4650055;681406;3346487;1203818;2477031;600094;5494268;367895;3826387;585322;2730600;10675916;2072332;4626769;720135;4268669;422932;338169
01/06/2015;6;2015;211391182;1376807;1897481;11015671;3434135;811526;3119534;10765363;23142458;1732922;2011965;3244112;2800789;2493916;2769000;4875745;1028224;8455706;4118935;1156690;4636589;2499892;1260579;2809933;2165537;2298769;1518281;1404236;28316337;7231955;7335479;4235921;1299067;4885558;791735;3752638;1427338;2871784;669980;5602495;436648;4304669;681681;3147892;11845589;2304230;5044848;790730;4701929;496160;371724
01/07/2015;7;2015;236440641;1398166;1995027;12820738;4149992;1025748;3482688;11250656;25566582;1892961;2312728;4186978;3512702;2570202;2976744;5783919;1234195;12989969;4624763;1211891;5437679;2994696;1587304;3084868;2647230;2995440;1597074;1744483;26925901;8457530;8076989;5107609;1643403;5886664;923577;4467694;1629395;3425927;813770;5420940;488020;5331895;766215;3303546;12550174;2374848;5024095;958044;4827667;544709;416606
01/08/2015;8;2015;212934477;1096805;1888874;12083480;3870314;1071755;3172915;10463271;19580851;1736536;2273240;4042119;3394633;2440995;2636197;4873060;1270632;14979859;4192608;1192155;5691651;2763805;1608318;2759982;2410138;2658502;1397975;1510505;21064137;8088476;7192809;4854620;1463260;5005439;877790;4013105;1721359;3233913;808179;4748523;515490;5360514;835525;3139631;11038208;2116450;3877323;969303;4039160;483018;427070
01/09/2015;9;2015;205510500;1351373;1850060;10872156;3393085;779961;3133923;10607815;22496501;1593923;1966836;3202170;2685606;2467565;2782897;4785396;1060986;8330462;4095929;1109697;4139364;2285630;1237980;2736867;2114217;2346254;1470316;1472208;26785061;7423922;7088102;4037653;1340361;4941908;755650;3672703;1380672;2782981;681248;5699460;401755;4068570;670524;3016290;11235395;2165174;4805070;787322;4534986;488496;378020
01/10/2015;10;2015;198503695;1297868;1771355;10734267;3332266;728126;3029142;7008100;22869556;1598110;1955860;2943267;2501385;2324358;2777667;4774064;996675;6894464;4166753;1070454;4316712;2218338;1141153;2758854;2132283;2619542;1450190;1401356;26706859;6912860;7078652;4172026;1343457;4924611;766053;3589520;1319039;2648313;621166;5706749;403340;3691839;633091;2911666;11171061;2166028;4783614;767105;4575974;444093;354414
01/11/2015;11;2015;170208641;1168953;1489265;8374254;2828660;621032;2650350;4418218;19553705;1391270;1638580;2534374;2192212;1956140;2423982;4338021;856119;5699119;3500611;951441;3741882;1961656;979746;2438176;1913242;2049783;1222640;1271773;24074413;5607158;6026509;3271957;1198401;4515599;685412;3197611;1171633;2409723;574476;5354164;338093;2924583;561465;2483673;9721721;1974823;4494967;682550;3956806;450568;367132
